sxx,syy,szz,sxy,sxz,syz,smises
3.431020640149484713e-01,-2.460766897469862657e-02,-2.835520341488861895e-02,1.038280728780559443e-02,1.015543276699161328e-02,-2.786352602839852876e-04,3.704531490802764893e-01
3.468868182874228490e-01,-2.616486462236874977e-02,-2.514691749321801284e-02,2.305557336236667594e-03,4.363266018462044586e-03,5.352552468245421391e-04,3.726429641246795654e-01
3.588713471980290448e-01,-2.011751981806764178e-02,-1.969467816571285335e-02,-2.972776094650318615e-04,-1.046723589978817157e-03,7.283443527863747192e-03,3.789923191070556641e-01
3.630198566195173004e-01,-1.773835115147379127e-02,-2.991422436726484668e-02,-3.138065321345580999e-03,5.072804326428948310e-03,3.006057214667014546e-03,3.871627449989318848e-01
3.397859063294008664e-01,-2.028751235684020382e-02,-3.493074755007199994e-02,-7.883890165077532975e-04,3.465359027097555944e-02,3.533066299966028216e-03,3.725343644618988037e-01
3.062716736849246946e-01,-2.760959132276621930e-02,-2.144191431545026949e-02,-2.474681810340350219e-03,3.812470372386319445e-02,-1.133901477020269081e-03,3.373991250991821289e-01
2.963389884398589524e-01,-1.523630906200279522e-02,-3.434514240487313019e-02,-1.023559306712482292e-03,2.110034586803194792e-02,2.178688296331904566e-03,3.236529231071472168e-01
2.919702689051827393e-01,-2.803468209298645708e-02,-9.110188405485400431e-03,7.200769355858560161e-04,2.021116255316997518e-04,4.206132561995402919e-03,3.110629022121429443e-01
2.752338309379613324e-01,-6.443393649212064700e-03,-2.089085402336095243e-02,1.801056036621141547e-03,2.461178790262953317e-02,4.211439346253060927e-03,2.924046218395233154e-01
2.838906847482489115e-01,-1.479163273095489284e-02,-3.258342390302981784e-02,-7.992612094743433218e-03,5.743892964135163814e-02,2.467698312639926474e-03,3.239589035511016846e-01
3.325725420752900785e-01,-2.643291081609883131e-02,-1.618425831294206807e-02,2.624797125650140794e-03,1.929295354181471273e-02,2.938503340480925867e-03,3.556316196918487549e-01
