sxx,syy,szz,sxy,sxz,syz,smises
-1.368979633841375110e-01,-1.332586080822461827e-01,-2.694708092146880229e-01,-1.401016000754446919e-02,-1.204743857479068612e-02,1.196736233208405345e-02,1.397326439619064331e-01
-1.428147460552381676e-01,-1.296619628702338489e-01,-2.810039957392746479e-01,-1.156264747781897591e-02,-7.900336714534385643e-03,1.369542520471946252e-02,1.491236537694931030e-01
-1.436003860626541284e-01,-1.405465044209578407e-01,-2.806252021716214573e-01,-1.464986774806802117e-02,-1.445073688851173516e-02,8.073327166062994886e-03,1.437687277793884277e-01
-1.414718108787997863e-01,-1.338848552077812615e-01,-2.820822144286584954e-01,-7.912197501085410298e-03,-3.681290128381315384e-03,4.914955095868913867e-03,1.455904841423034668e-01
-1.568451540097098307e-01,-1.389102822241017055e-01,-2.974268946622934395e-01,-1.463240118777383442e-02,-7.830629533324615782e-03,1.430116842815300909e-02,1.550678908824920654e-01
-1.440083079829561630e-01,-1.455428738137705125e-01,-2.887128560926186527e-01,-5.104496622659935147e-04,-2.945220312649720262e-04,-4.804079685051754417e-04,1.439494192600250244e-01
-1.491535361877371069e-01,-1.470168453072842052e-01,-2.909502761792753800e-01,-1.260243727679255694e-02,-9.088030359660385221e-03,8.370330732921166944e-03,1.461105197668075562e-01
-1.228147750486386913e-01,-1.328104880784241881e-01,-2.698170486872748519e-01,-1.279164959672951345e-02,-1.959150001184975856e-02,1.082427864186136235e-02,1.491108536720275879e-01
-1.474518304198976504e-01,-1.397905075742965908e-01,-2.872121296821622538e-01,-6.514074623375536860e-03,-2.921319570743087252e-03,2.976793546327819069e-03,1.443671435117721558e-01
-1.490866836421590458e-01,-1.339088409016565007e-01,-2.758613187928388166e-01,-1.408852037246265641e-02,-7.890888510815759899e-03,1.788130642028611106e-02,1.413075476884841919e-01
-1.546815654846245558e-01,-1.442049236730109929e-01,-2.922649537839874800e-01,-6.501851392976753900e-03,-1.572595680063044055e-03,2.838959440940353948e-03,1.436620354652404785e-01
-1.419621927777736659e-01,-1.341959987430054735e-01,-2.764575188266084060e-01,-6.420170829374249183e-03,-3.551803049860267902e-03,2.748958760414703991e-03,1.392048746347427368e-01
-1.443324803851503968e-01,-1.264929864858720110e-01,-2.683815356671549468e-01,-9.466133401726044630e-03,-7.963758212361947073e-03,8.967786200603096794e-03,1.364541649818420410e-01
-1.549539093143590673e-01,-1.357704898592485554e-01,-2.903221876111574118e-01,-1.056700860536528321e-02,-8.698296711738157452e-03,7.075344623253592737e-03,1.483291834592819214e-01
-1.270033203332385507e-01,-1.570371442320307453e-01,-2.601571789132477441e-01,2.649365105081261714e-03,-2.337689863851419650e-02,-6.716272783940889762e-04,1.276507377624511719e-01
-1.050552764263817385e-01,-1.427467459616381940e-01,-2.186833197153287833e-01,2.689493719653764797e-03,-4.206152411979607181e-02,-5.558957404711473323e-03,1.243828460574150085e-01
-1.226021969529090400e-01,-1.629748268332856520e-01,-2.854028026675741181e-01,1.922074964558406198e-03,-2.725202320815979518e-02,-2.064033410449274235e-03,1.543152034282684326e-01
