sxx,syy,szz,sxy,sxz,syz,smises
4.900810319933414649e-01,-1.494484484050775941e-02,-3.645694385856501629e-02,-6.849590988079289414e-03,8.147817464973269863e-02,-4.781764217824451164e-03,5.352602005004882812e-01
6.390894544827480095e-01,-4.841156059229737019e-02,-5.084147065288313616e-02,5.373377347833514089e-03,1.363407891698572294e-01,-2.335136361170101935e-04,7.281396389007568359e-01
7.005490076170247660e-01,-2.178390967378471266e-02,-1.872902233038972741e-02,3.264785182787014774e-04,-1.392279558922970145e-03,-1.371116482636050571e-02,7.212057113647460938e-01
7.003316967801687110e-01,-2.937435877594476996e-02,-2.309760951910994065e-02,-1.136981639268538511e-03,-6.888065606801170582e-04,-4.028556730936380843e-03,7.266251444816589355e-01
7.057032019207385432e-01,-3.618636922213822049e-02,-1.667542732002103012e-02,-2.573413437340031466e-03,3.426458532197641706e-03,-7.520403581719524271e-03,7.324824929237365723e-01
5.305563383894615903e-01,-4.003624083192491856e-02,-3.291567537280315481e-02,-1.075443985549961456e-01,-4.660723772726828307e-02,-1.319191275739155580e-02,6.027435660362243652e-01
7.237672177129468309e-01,-7.723419477602982974e-02,4.668595135762232395e-02,-3.740599950483821257e-03,-4.430920657689632115e-04,-8.979395153761485573e-03,7.469830513000488281e-01
6.236323552210691901e-01,-7.086004908362533716e-02,-5.894708897206002440e-02,-1.224582579615178246e-01,3.606726659559061649e-03,2.623130265822769605e-03,7.205802798271179199e-01
6.928036419086447406e-01,-5.048437497005575647e-02,-7.018980341994418559e-02,-1.049338826503717166e-03,-8.285234864642191223e-04,-4.495557002555012477e-03,7.533778548240661621e-01
3.357664853624215406e-01,2.537129854847018640e-02,-8.323265053069317521e-02,-1.363910415257874043e-01,-7.281062668927534842e-02,2.326051138374342787e-03,4.621450901031494141e-01
4.505798443660559149e-01,-6.012624455140280766e-03,-3.384013808054836536e-02,-1.539348996700926064e-01,-1.588717600980131539e-02,1.617053260391524555e-02,5.427581667900085449e-01
7.668083486768997314e-01,3.809829885321580623e-03,-6.705258881403086679e-02,-1.544128443609368503e-02,1.259580781777426203e-02,3.819148608861012983e-02,8.042531609535217285e-01
7.106324475769569826e-01,-4.610363057900801476e-03,-3.563404287071850196e-02,3.731057218616283793e-03,2.397468322676871155e-03,2.995836027969854889e-02,7.331273555755615234e-01
7.421862450240558351e-01,-2.077607868275771486e-02,-4.038836556495947749e-02,-9.081191151123385250e-03,-1.304225728782829052e-02,4.214747185936208035e-02,7.768825888633728027e-01
7.371847058241397521e-01,-1.724041289766831131e-02,-6.064451078961169417e-02,4.121622415471713763e-02,2.518658364025456661e-02,1.586944668110652074e-02,7.820110321044921875e-01
7.475608098548917058e-01,-2.164861556664424147e-02,-6.330000997539977914e-02,-9.859301506037381271e-04,3.836104814873711379e-03,1.287878376151089382e-02,7.912024259567260742e-01
7.378762023079379340e-01,-1.121746294572228964e-02,-4.522388314260283870e-02,-1.019645669721049377e-02,-1.585894463195054727e-02,2.540109811271318296e-02,7.686181068420410156e-01
7.343724993689069169e-01,-1.133208209792396781e-02,-3.709133192185115613e-02,-7.302432012284609721e-04,3.875641378163491389e-03,2.983748126156099412e-02,7.607004046440124512e-01
7.057025240684738909e-01,-4.806097427173963710e-02,-1.969358487731068252e-02,-2.908937563322996217e-03,8.604822853714499953e-03,1.040251069819489275e-02,7.403742074966430664e-01
7.322458120215573629e-01,-4.410122619517509168e-02,-2.503432951445533350e-02,2.047595306087066427e-03,1.402049494681776795e-02,1.612351903066147965e-02,7.678918838500976562e-01
7.348133863958482559e-01,-4.936870346408092636e-02,-3.439064727764865048e-02,-1.124554708492593418e-04,1.415028725849337525e-02,2.770639385547977659e-02,7.786681056022644043e-01
7.437120082657016074e-01,-4.546391683106312809e-02,1.223232633844134609e-02,1.091987017898312859e-02,1.224211222345618008e-02,4.969448064469650372e-02,7.673401832580566406e-01
7.169347051625967193e-01,7.140405951780365301e-03,-6.381008128520948564e-02,1.709668396009526858e-02,3.879415803045366089e-03,-7.892729994565013049e-03,7.485393285751342773e-01
7.076294207357218813e-01,-5.523193980027654715e-02,-2.642822637775474326e-02,-1.686525295277860022e-03,7.596633922914974683e-03,1.923959621523244762e-02,7.497373223304748535e-01
7.055287017246093528e-01,-6.041645255060013042e-02,-4.699295415026144562e-03,2.027461593032253359e-02,2.515504733315482300e-02,2.042433463954568609e-02,7.426190376281738281e-01
6.722444264462337227e-01,-4.550977392499724883e-02,-5.761024338478462625e-02,-1.949305084518233909e-03,1.862055560620574923e-02,1.108866054013759803e-02,7.248607873916625977e-01
7.070657037950163204e-01,-2.833428387280095828e-03,-5.258341126502402707e-02,-1.446592948791663308e-03,3.744174148583129594e-03,-2.243487800328105436e-02,7.370940446853637695e-01
